date,ticker,company,headline,source,url,raw_source,relevance_level,use_in_model,event_type,notes
2026-04-23,AAL,American Airlines,American Airlines reports first-quarter 2026 financial results - American Airlines Newsroom,American Airlines Newsroom,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOUzV0S3FySkxHaGtoMU5fLVp1SFZmaFh5NUlKZk03OUNrUXNYMkp0alIwNlJRME1SdXNoV0VPX09MNS0xTFAzVlVVN3UyaENZUEpqeWEyZ3JzbXd1LUppamE3Ymc5cjl5RjB2QW5pYlJTLWh4UG5Td3pBcFNvSVB2YVRac21CUktQejQ4VlI3MHA4VmlPM1M5QnVEQVVZSWJPVmxXNlpwLVUtWHVuWXU4Zm41X1FhSUttOF96R1BEcEpuendQQVZDYw?oc=5,Google News RSS,noise,no,irrelevant,Anuncio genérico sin número ni dirección. FinBERT no extrae señal.
2026-04-23,AAL,American Airlines,"American Airlines Cuts Guidance, Flags $4 Billion Jet Fuel Hit. Why the Stock Is Rising After Earnings. - Barron's",Barron's,https://news.google.com/rss/articles/CBMihwFBVV95cUxNVTlzREd1bDJNN2JFX25pQnhyNjNBXzlUWW03V1ZHMFZ5N2ZIYm5qaE1CZ1RMVDY0MlA4c251V1p3X3U5TnJ1d2FpeTZMc1ctbm5tZkQ2SnF5dzY0RHJ0SU5WVG5SRnBkdHVycUlzUDM4djVFbzRCM3hqbmRtZGtoTWFUVXFCenM?oc=5,Google News RSS,direct,no,fuel_cost,"LEAKAGE: headline contiene ""Why the Stock Is Rising After Earnings"" — revela retorno posterior al evento."
2026-05-15,AAL,American Airlines,"Airlines tackle fuel cost surge with price hikes, outlook cuts - Reuters",Reuters,https://news.google.com/rss/articles/CBMivAFBVV95cUxPcVFyT1VQMXJxcEpmZmlhSHBuVVRCQ2NNajF3SHV3R1I5Yk9TNUZScUVzZmlCYmt6dXAyREVVRzRLRklvVFVBY3J4aGo1NHUyellvZkNscFRRZlF6QkxyaDFpRVk5eEg5ZGYtTi1UTFJyeHBmdUl0Zk4xWGR5bzE1VnVxLTEzOEFFTE9wZzYyMWNXNUw5MkJRMXhRQjJtUVhMMG1HRGRMMmFJZ0NYUzloNTJOWDBSTk5CRXBVRA?oc=5,Google News RSS,sector,yes,fuel_cost,"Artículo sectorial Reuters: ""Airlines"" plural — ninguna aerolínea específica nombrada en headline."
2026-04-23,AAL,American Airlines,"American Airlines Tops Views, Cuts Outlook On $4 Bil Fuel Cost Hit - Investor's Business Daily",Investor's Business Daily,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOZDJxUktLN0dqZW1LR29WTmZ1RU52ek1UNXRVSERuYlVxVTZrZGRYWlE0d0dPQlphYWxObW9helE2a3RUUGlodU1jUlM2MlRxM2FYY1hHUEZZX2I4MlVaLWdOd0RnaFRtN3hYYm90U2l1VndBQ0FieEpDNzFqUGFpN2ZXdlBDT3ZNQzI1Rk1QWXBGRXVTVjFxVzFWbExFZTg1RnJNbHpFOXhYNWNKUzhEc1JrdS03VlRVaVZXY1hEWTZSdw?oc=5,Google News RSS,direct,yes,fuel_cost,AAL nombrada. Señal doble: beat de estimados + guidance cut por fuel. Cuantificado: $4 Bil.
2026-04-23,AAL,American Airlines,American Airlines Cuts 2026 Profit Guidance on High Jet Fuel Prices - Skift,Skift,https://news.google.com/rss/articles/CBMikgFBVV95cUxNb0VnUl9zd3NQTTRfX09GVEFxZGdEOTNfZzJpbkxJcUtmNUpUbW1JU1JsTkkyV0czX21UaDBaRkhELUptdy00bmZ1eHUySGZHNjZBR2UwdUV1U05qMUJmTzlGcVVpbGotY1hXOElnS3M0ZGZqdExTWHFhYmJLb2lYTGlFemg0dTJwS1RMZVlZcEVfQQ?oc=5,Google News RSS,direct,yes,fuel_cost,"AAL nombrada. Driver explícito de guidance cut: ""High Jet Fuel Prices""."
2026-03-17,AAL,American Airlines,"Airlines raise revenue guidance despite rising fuel costs, citing growth in demand - CNBC",CNBC,https://news.google.com/rss/articles/CBMidEFVX3lxTFBDR1V3Q3VsVkNiYzNBcVpKVXFuOWVTVzJ0d3daNGkwZ0tCNUNQLUFBS2NuZ09QVHZoTlM5akVLcWtqNHpqY0p5S3JlLU5DVHF5R05yYlFBVHFLNkliUjhYRTVOS044TkptbjREa3R3bnB2MUV40gF6QVVfeXFMUFdmd3Y4ZmlpTEFKRGE5dFZrYUhYT3NTc3JMQXN3NWNDS3RockpacEdUSDlGdDJjYzljMDA5Mzc4NXJ5UHpuRzNPbTVzN2V3dUw5MmJfMkRpX2V4MFFsQTBNUFUxMU91VlJfazc2aG1fdFJLMnJnTUQyZFE?oc=5,Google News RSS,sector,yes,guidance,"Artículo sectorial CNBC: ""Airlines"" plural. Acción: alza de revenue guidance pese a fuel. Sin nombrar a AAL."
2026-04-23,AAL,American Airlines,American Airlines says soaring price of jet fuel will cost it $4bn this year - The Guardian,The Guardian,https://news.google.com/rss/articles/CBMimwFBVV95cUxPTWlWT21ZanJlOTFjRTc2dHBwb3Y0NVdKLVNqNEx5ZW9HdUNEbXdNcXRUUGNPdzhzV3Y5am5KZVRmTDhjX2pnblV6Z3VCaFp0SHRucDY2TWxXUW1KRm9SLS1QUlA1SF90WUdPVFRwQ185RjAxeXlFdjNpeUMydmUtUlE4ODk5dzk1RXRlSmpwdjRFdVNWVlB4TktOcw?oc=5,Google News RSS,direct,yes,fuel_cost,AAL nombrada directamente. Impacto cuantificado: $4bn en costo de combustible este año.
2026-04-23,AAL,American Airlines,"AAL Q1 Deep Dive: Premium Product and Loyalty Drive Revenue, Guidance Cut on Fuel and Cost Pressures - TradingView",TradingView,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPNTVyYThJOGdlUl9lNENRVjltNWhRSml2NGVfLVNhRkJTWUlqNmNRNWtQRzZBTWU0Q25Zd0VmaXhlUlZSQzEtY0UtY1lpd195Q2tpa1c5Ti1sVm00cEx6SWFPWW5UcmtnSXNiSUJ4NkhialFjWUZvUTJhWTBVUTNrOHktTFpDQ0lrRHJsQ1FOMWdYUXJoZkp0RklaRnBCY1JqYW9JZDlsckZRT2xRWVZBbV9ON0RTNWhMNDFuVUZyUnlmcnhuMjFicmFWMm5Sb0dFNlAyYW15bkUxNkRKYUw0enBGOTBBTmRyVk1pR2hJSGo?oc=5,Google News RSS,direct,yes,earnings,"AAL nombrada. Deep dive Q1: premium revenue, loyalty, guidance cut por fuel y costos."
2026-04-23,AAL,American Airlines,American Airlines cuts profit outlook after Iran war spikes fuel prices - Washington Examiner,Washington Examiner,https://news.google.com/rss/articles/CBMitAFBVV95cUxORlFMclV5SlFuRHNSTXFaTUJwdTVVZVBfVEF5UW1yTWt0VmZGQ0pXbkNrdnVLUlk2LXVtRWNjZmwtc2FQNEFicE8wUmd6bGhiZXhzSVVhLWhzOF90bGRIZXJsSmFsQk1SUTdVb0xZRTdJN0hMSUx4eFpUWktUdXM1b2pXTzFJMGVXZEdDSi1TRVhNRFBscGN2eFNKNWY3WlJ0d2U4bndpMWRlRWNMZXB1Q0lOOTk?oc=5,Google News RSS,direct,yes,guidance,AAL nombrada. Acción: corte de profit outlook (forward-looking). Driver: guerra de Irán → fuel.
2026-05-20,DAL,Delta Airlines,Berkshire Hathaway Picks a Massive $2 Billion Stake in Delta Air Lines - TIKR.com,TIKR.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNaFZXYjBBUy0wYWl3MU1Xd05DbU4wbzcycDJvR2pkekpJbEFQZlMzWUJmZGxVXzBEN1ExVVhySkU5WUdweTM5NHNqZnZhYjdRUnFNUnlZNHBrQkpwNThGOTlacGVQLTh1NVhyNEFqcUxCSkFKQ1NVVUU5aWFlcGZ3TmdyWkp4dU5uMTZqOU9tSjEzT01ubmVINXpFc3dsRWdzNjhKMU1YbDA?oc=5,Google News RSS,direct,yes,institutional_investment,DAL nombrada directamente. Berkshire toma participación de $2B — mayor evento de señal institucional del dataset.
2026-04-08,DAL,Delta Airlines,Delta Air Lines announces March quarter 2026 financial results - Delta News Hub,Delta News Hub,https://news.google.com/rss/articles/CBMijgFBVV95cUxOQ0FwaDhYWnVyX3JLWXI3NllKQmNBYWJIaWw0UVo3OVlHNWF2T1pnbTNKZUVOUmlGbFNrbmtVTlhjUkNfZ1NOU3NYektXSEFqYk5MRjk5Uy1BblNCVkRTX2NvU2ZrSFRSTEtpb2xBaTc1cFdoSTcyZkxGRzh1c1pfc2kxQ21NZjkwYjRDQ05R?oc=5,Google News RSS,noise,no,irrelevant,"Anuncio genérico ""announces financial results"" sin número ni dirección. FinBERT no extrae señal."
2026-04-08,DAL,Delta Airlines,Delta Air Lines Announces March Quarter 2026 Financial Results - PR Newswire,PR Newswire,https://news.google.com/rss/articles/CBMiugFBVV95cUxQVTd2b09Jd2lkNTBkNzNzUnVqTUdFSjR6SkhMLVhGbllpWjB0Q0psSlRzYzY3S2htMGV6NGt2eXVxRzJtRE1CRzFIYnRveHZYMU82Mkg3akxRWVR5M3pFb2lOVVE5Sl9sMjY3Q3pYZjNWUkRtSGVKbG5QUXhXZkdHTGt0XzloUGVZUW1lWmJsRFFibmRPakJ4UHUtR3J3bVFyVnU1clFKeTBocXRQSktiU0x3N3N6NFhUU1E?oc=5,Google News RSS,noise,no,irrelevant,Mismo patrón que row 10. PR Newswire repite el anuncio sin agregar número ni dirección.
2026-04-07,DAL,Delta Airlines,"Delta Earnings: Fuel Costs, Refinery Edge and the Guidance Number That Matters - tastylive",tastylive,https://news.google.com/rss/articles/CBMitwFBVV95cUxPMTMzSGQwdFF4aDIyS1RMZWNGNUN0eE5ZZnNuY1pBSW5CQktLVVhGVTNHT3RMWFFGM0RMaThhSkVnb0s2UjFzQ2QxZ09DWnBIbk1EMV85bUdmUnNuSXl4WlQ0ZmdEeXdIQUlnb09OMVk1RG55Q1JWS245VjFfSllCc2I0cVlOcEJIaElKVzJQa2pwUnRVX1RDeHJqMnpKYXFIdU1tX3FseG9ZUmlOME9QcUJJQUZMbnM?oc=5,Google News RSS,direct,yes,earnings,"DAL nombrada. Análisis específico: fuel costs, refinery edge y el número de guidance que importa."
2026-03-17,DAL,Delta Airlines,"Airlines raise revenue guidance despite rising fuel costs, citing growth in demand - CNBC",CNBC,https://news.google.com/rss/articles/CBMidEFVX3lxTFBDR1V3Q3VsVkNiYzNBcVpKVXFuOWVTVzJ0d3daNGkwZ0tCNUNQLUFBS2NuZ09QVHZoTlM5akVLcWtqNHpqY0p5S3JlLU5DVHF5R05yYlFBVHFLNkliUjhYRTVOS044TkptbjREa3R3bnB2MUV40gF6QVVfeXFMUFdmd3Y4ZmlpTEFKRGE5dFZrYUhYT3NTc3JMQXN3NWNDS3RockpacEdUSDlGdDJjYzljMDA5Mzc4NXJ5UHpuRzNPbTVzN2V3dUw5MmJfMkRpX2V4MFFsQTBNUFUxMU91VlJfazc2aG1fdFJLMnJnTUQyZFE?oc=5,Google News RSS,sector,yes,guidance,"Artículo CNBC sectorial: ""Airlines"" plural. Mismo artículo que rows 5 (AAL) y 44 (JBLU). DAL no nombrada."
2026-04-23,AAL,American Airlines,"American Airlines Cuts Guidance, Flags $4 Billion Jet Fuel Hit. Why the Stock Is Rising After Earnings. - Barron's",Barron's,https://news.google.com/rss/articles/CBMihwFBVV95cUxNVTlzREd1bDJNN2JFX25pQnhyNjNBXzlUWW03V1ZHMFZ5N2ZIYm5qaE1CZ1RMVDY0MlA4c251V1p3X3U5TnJ1d2FpeTZMc1ctbm5tZkQ2SnF5dzY0RHJ0SU5WVG5SRnBkdHVycUlzUDM4djVFbzRCM3hqbmRtZGtoTWFUVXFCenM?oc=5,Google News RSS,noise,no,irrelevant,"TICKER CORREGIDO DAL→AAL. Artículo Barron's sobre AAL mal asignado a DAL. LEAKAGE adicional: ""Why the Stock Is Rising""."
2026-03-17,DAL,Delta Airlines,Strong travel demand lifts US airlines despite fuel price surge - Reuters,Reuters,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNc1FaTG1wSzBSeVE1RHNMbDV2NWswYS04ejQxdlpUMEJscGJNa0hUb0llOGtVdVJGSlhZaTdxOG5WTUZMSzRjUWJHa2s2VWNkNXR4cERXQ2lMQzRvRU9JWXAtUGxRXzhXRzNyX1JmaTZkTEVoeVE0dUxGc2FoZUZlbWJOUzFTRHlJa21nZWVYWWUxZ2x1alp3UHd6N051OXZaZWFjZWlNU2M?oc=5,Google News RSS,sector,yes,demand,"Artículo sectorial Reuters sobre demanda de viaje vs fuel. ""US airlines"" plural — DAL no nombrada."
2026-03-17,DAL,Delta Airlines,Airlines Offer Glimpse Into Operations as Middle East Conflict Weighs on Fuel Prices - WSJ,WSJ,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOM0hHSGI1dFIzTUVWZVJIT2pySzhlWnpZN1FkcW1ReFJTVlJWYUc1MExpSnc2cEhpdnk5R21RVXRTQ3d5Mjd4eFlBOVdsSTdyLW9UM0x0TTRSOUFmakVWd1J2Y0R2c291aWY2d2pYRWx2MG1zSHhtS01XZUloT0htWUdRbUpvUjNWWkNNN2xoTjcyNEZOUjE1VzE5a1hiZjhkU20zLTh4ZzdYUFE3RGtQZkdYbVZPNk5KazNWeHhJV01oUQ?oc=5,Google News RSS,sector,yes,war_risk,"Artículo sectorial WSJ: impacto del conflicto de Medio Oriente en operaciones y fuel. ""Airlines"" plural."
2026-03-17,DAL,Delta Airlines,"Delta, American Hike Forecasts; Airlines Rally As Demand Outweighs Fuel Spike - Investor's Business Daily",Investor's Business Daily,https://news.google.com/rss/articles/CBMizwFBVV95cUxNZnRYVHQtdTBfN1p6Z3FKZzRlWDBMZ3J6eE16ci1VVnpRSUYtTndvUDh2Vlh5TDdJLTRoam56aEw5dXkxb3R3b0EtTkpZdWRaRl96eTFNbDluV216blc4akRHZE1PY0ozN21nLXBzUmdfT0xnN0lieWVZYW42QWFkTG1rU0M0d1ZpSGRqWEV1T0N3eDBKQVExbEtOeW00Tm96VkpZT2FSZEFVR2E5SnVWRGhBN05iUkZYSnVwQW1NTUhFZFJLcUNPTURwS08zbGM?oc=5,Google News RSS,direct,yes,guidance,"DAL y AAL nombradas explícitamente. Acción: alza de forecasts. ""Rally"" refiere a demanda operativa, no a precio de acción."
2026-03-17,DAL,Delta Airlines,War & $400M Fuel Hits Can’t Stop Delta and American’s Revenue Surge - Simple Flying,Simple Flying,https://news.google.com/rss/articles/CBMilwFBVV95cUxOVXhCdjN4X000ZktPZWZIRlhoaDZQQW92dE1FZ1FJZWVuQVA1d0NZektIekJfTGNjVjRyV0pOZWh1X3VlQXBDNjEtQ0ktMXlJbWhrRlBTcy0wbWJMc19GdEpGRVNLWWIyTEFkU0NSVTh2NS14bjRFU3VYUmhYUjAwMU1BSHlscDFQVzlLTG9lSUNwWDRNcnE4?oc=5,Google News RSS,direct,yes,fuel_cost,DAL y AAL nombradas. Revenue surge a pesar de guerra ($400M) + fuel. Señal positiva con driver negativo.
2026-04-24,UAL,United Airlines,United Airlines Cuts 2026 Outlook on Higher Fuel Costs - Mexico Business News,Mexico Business News,https://news.google.com/rss/articles/CBMimgFBVV95cUxPSU4xOS11cGxJUXpJQnlESUt3M3NzelRZTHlxRE1RZ2swSlAzSjg4eWg4Sm1nR0FIeWlXbXozdlhpTndBLUNzQTg2MGJ2R2lhbkhLU3ozWVk1ak9Sa2dpbWZHUVRKQmk5UEoxa3ZobGxDMUl3QkI1alRqcjk2UTY3OHpqUWFVVDBOWHU2cE04R1JVQlNsZ2ZzdDVR?oc=5,,direct,yes,fuel_cost,UAL nombrada. Corte de outlook 2026 por higher fuel costs. Señal negativa directa.
2026-05-15,UAL,United Airlines,"Airlines tackle fuel cost surge with price hikes, outlook cuts - Reuters",Reuters,https://news.google.com/rss/articles/CBMivAFBVV95cUxPcVFyT1VQMXJxcEpmZmlhSHBuVVRCQ2NNajF3SHV3R1I5Yk9TNUZScUVzZmlCYmt6dXAyREVVRzRLRklvVFVBY3J4aGo1NHUyellvZkNscFRRZlF6QkxyaDFpRVk5eEg5ZGYtTi1UTFJyeHBmdUl0Zk4xWGR5bzE1VnVxLTEzOEFFTE9wZzYyMWNXNUw5MkJRMXhRQjJtUVhMMG1HRGRMMmFJZ0NYUzloNTJOWDBSTk5CRXBVRA?oc=5,Google News RSS,sector,yes,fuel_cost,"Artículo sectorial Reuters: ""Airlines"" plural. Mismo artículo que rows 2 (AAL) y 41 (JBLU). UAL no nombrada."
2026-04-22,UAL,United Airlines,United Airlines Cuts Guidance Due to Fuel Prices. The Stock Is Rising. - Barron's,Barron's,https://news.google.com/rss/articles/CBMihAFBVV95cUxOWFROMC15SXR6V0oyMHNSWVhCSGxPaElFYTVLZGJEczVhQXBkUTRoLUFOXzlOWE93QW9KdDRObU5zY2cyc3BkWWluWWdqS2pJalpXYy0tck9CNnVGSy1BWUpaRVdfdENQY1hnMlh3U3pROUpLRFlfcENSYk9DUFFMM2o3eW8?oc=5,Google News RSS,direct,no,fuel_cost,"LEAKAGE: ""The Stock Is Rising."" al final del headline revela retorno de mercado post-guidance cut."
2026-04-21,UAL,United Airlines,United Airlines to Reduce Capacity as Fuel Costs Soar - WSJ,WSJ,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPOTV3Z3pfbGFzZ3U5Ny1hNE9kSDEzMjZ4MWg4YU8zQVJ5dWNCLXI4b1l5UG1fVFpyRGNYNC1QLXBJU3NWc1kwUlNiWUtpQ0UzeklBaGtzeHBxQUtoUHJWNVM1Rzd3VWZEQWVzbUVlZ0w4dWVlTTJraEw2UXlhSXUtV09lZGJzc0FKTzM0bGpub0ZxcmVTRWdTYWlQS0JTWFRDTkpCNThPUkQ?oc=5,Google News RSS,direct,yes,fuel_cost,UAL nombrada. Recorte de capacidad como respuesta directa al alza de fuel costs.
2026-04-21,UAL,United Airlines,"United Airlines slashes 2026 forecast as fuel costs surge, but demand remains strong - CNBC",CNBC,https://news.google.com/rss/articles/CBMifkFVX3lxTE1IZnBTNi1HRkZLS3VUSVZNT1JfbHl0YWxZb2VEd0FnQXNfSjd4TlJFR3lLU2JvLW8xejBEOXVGU3Zka3lrZ1VTZXZqXy1rTFBveE52dFNNczdyakpZVGIxWVJJWmRrbHVfS09qdlFTQUh6RkN6Z3RPWFdVa1pod9IBgwFBVV95cUxORVNjTlNFX3FoWG44d0FsRzY3aVZwT0N6eTBTeXczNnE0LUVBenk1NFJPT1poN25tb2Vtc2V1OXQ3ajJWYlV0cklYVjliNDh5RG91RlNGdDZtaU83QUVfTmJnXzlONnlLNWFNeDJlSmt0dnZiWXpCTzE3VDg4eXBVSGV6RQ?oc=5,Google News RSS,direct,yes,fuel_cost,UAL nombrada. Recorte de forecast 2026 por fuel surge. Demanda fuerte como contrapeso positivo.
2026-05-01,UAL,United Airlines,How The United Airlines (UAL) Investment Narrative Is Shifting With Fuel Costs And Guidance - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPcXlRNHA3VGlsWlNheEM0aVRwdGJ4dFpZdUlqVWU5YUFibS1KSEswQ2phTmpVTzNSUlU0M1lBN0xTQ0s0azZwNk8xQWxiWTNJRkYyTTdMMEphT0FKMUptOWtCZWpoRzJnY1hnZmNwT2U1WmxZdjBJeTIxZWxOUFM5anpLWUhrLXQwMjQtQTBQLXYxeVpLRTZsQ3NfZTNnM3BKX3FIRVpjbzE?oc=5,Google News RSS,direct,yes,fuel_cost,UAL nombrada. Narrative shift de la inversión en UAL alrededor de fuel costs y guidance.
2026-05-20,UAL,United Airlines,United Airlines stock (US9100471096): shares retreat as fuel-cost worries hit airline sector - AD HOC NEWS,AD HOC NEWS,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQOVNtN1N6LTRJWE94QnZmS2dxa1RsWXptOEVmWHFuUUR2b3RqN256cm5MWUFMc0FTaERVNE5PWGRWMGt6YnUzZHdPMUhJODRuaXJqRVZVcFlBRlF1UXpoX3NNTWpOa2pKVzdQS3RRZGRlOFhWWi1yd3AtdUtqSWdBT1BkMndUNTRRdTJxeWRIdlNrbmtLUmg0Qm5XUmV4TWFkX2FjdGxYa3hvN2ZweUxkcl9lVWNJRFNKWXpDemQ2aUJiVWx6U3JHVg?oc=5,Google News RSS,direct,no,irrelevant,"LEAKAGE: ""shares retreat"" describe explícitamente movimiento de precio de acción en el headline."
2026-04-24,UAL,United Airlines,United Airlines Cuts 2026 Outlook on Higher Fuel Costs - Mexico Business News,Mexico Business News,https://news.google.com/rss/articles/CBMimgFBVV95cUxPSU4xOS11cGxJUXpJQnlESUt3M3NzelRZTHlxRE1RZ2swSlAzSjg4eWg4Sm1nR0FIeWlXbXozdlhpTndBLUNzQTg2MGJ2R2lhbkhLU3ozWVk1ak9Sa2dpbWZHUVRKQmk5UEoxa3ZobGxDMUl3QkI1alRqcjk2UTY3OHpqUWFVVDBOWHU2cE04R1JVQlNsZ2ZzdDVR?oc=5,Google News RSS,direct,no,fuel_cost,"DUPLICADO exacto de row 19: mismo ticker UAL, misma fuente Mexico Business News, mismo headline."
2026-04-22,UAL,United Airlines,"United Tops Views, Plans To Cut Capacity Amid Fuel Price Surge. Alaska Air Earnings Mixed. - Investor's Business Daily",Investor's Business Daily,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPVkJ5MHpkZ2VFYjlTWEJCcTFhM21Tb1Y4RWZoNHhWcGh4eTViRk9jYVZjRmRTX0YwQm9GUnZ5ZGRGRmlXak5UWWpUS1NHYWdrbWFQbk1XSU1PQ3BnbG05S0M5ZWJZbGVwM1FITk9NSTJuaWlRWWtyVUxLa2VKTDZ3RHZCSFJBenRiRWp6UG5kaWhDRVJ0NGM5eTk5enlZaE40dFpFVHRmdFlfRTF2M0w5VXZUemFjOEU4MFo1Q3VBbjhwNzhvQ2h6VnlXLWxSVTFhYTFBTDNwblhCVnNidnc?oc=5,Google News RSS,direct,yes,fuel_cost,UAL nombrada. Beat de estimados + plan de recorte de capacidad. Menciona Alaska Air (fuera del universo).
2026-04-21,UAL,United Airlines,United Airlines Cuts 2026 Profit Outlook Due to Rising Fuel Costs - Skift,Skift,https://news.google.com/rss/articles/CBMikgFBVV95cUxNWVd2cTJzQUhFQlBFc00zSC1ZcHNpOEZjOVY0bDhDV2tNWElGZ0V0cm9ZbjJkR29GcTh3WE5XcWgyOHQxREp6QUxtTC1nbHM5SlpEUGRDdm9DUUJvaVFNMzlXS3k4UXBqS3VWOFVEMHVrVU5BbkJZNzM3YXM4b2tINllCTEp3SmQ1WGl0a2hHZ1QtZw?oc=5,Google News RSS,direct,yes,fuel_cost,UAL nombrada. Corte de profit outlook 2026 por rising fuel costs.
2026-04-21,UAL,United Airlines,United Airlines Rallied From Its March Lows. What Q1 Earnings Mean for United Airlines in 2026 - TIKR.com,TIKR.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPUFM4Mm9mUF9nOUNxQUR1TGJuU1JhOEk2dV9rLURIZFFMOTNZNkxVRldNc1FoaHBMQzFwc0t1YjdwSVRaQlJjbHN6Um1nT2FRZjdRODRMMUI3Slg4YngwdFAxcTFuMUlHdEYxOVV0Z1o2UExJWFZ4YTFSaHZGTW4xYlo1VUhVSUF2dEhBOFBSUTVhSl9KZmRZZDhzbjFUTE1iRlMtZlh2Nkp5dHI2S1hxZGliNHdzZTRLeHk0?oc=5,Google News RSS,direct,no,irrelevant,"LEAKAGE: ""Rallied From Its March Lows"" refiere explícitamente a apreciación histórica de precio."
